Date|Close|Open|High|Low|Volume|Change|Value
1997-03-27|651.65|657.1|665.57|651.59|45.59M|-0.76%|0
1997-03-28|652.87|652.88|661.55|650.72|40.73M|0.19%|1
1997-03-29|667.19|654.44|667.68|654.44|26.59M|2.19%|1
1997-03-31|677.34|670.75|678.76|670.75|43.96M|1.52%|1
1997-04-01|672.99|678.97|688.12|672.07|38.64M|-0.64%|0
1997-04-02|678.86|672.82|683.32|668.72|36.33M|0.87%|1
1997-04-03|678.74|680.14|689.12|676.44|41.72M|-0.02%|0
1997-04-04|687.42|679.88|688.06|679.14|40.63M|1.28%|1
1997-04-07|694.9|688.88|699.02|688.88|40.67M|1.09%|1
1997-04-08|694.97|695.35|699.07|687.87|40.08M|0.01%|1
1997-04-09|698.66|695.86|699.7|694.55|43.78M|0.53%|1
1997-04-10|688.04|698.88|700.06|688.04|46.11M|-1.52%|0
1997-04-11|693.94|688.39|693.94|682.47|44.19M|0.86%|1
1997-04-12|696.95|696|701.11|696|31.48M|0.43%|1
1997-04-14|704.2|698.44|705.82|698.44|43.25M|1.04%|1
1997-04-15|701.39|706.05|710.67|701.39|46.72M|-0.40%|0
1997-04-16|702.42|701.43|703.04|697.75|39.05M|0.15%|1
1997-04-17|694.76|702.98|703.44|690.66|42.93M|-1.09%|0
1997-04-18|695.67|695.21|698.52|692.57|38.74M|0.13%|1
1997-04-19|700.65|696.57|701.27|694.73|25.24M|0.72%|1
1997-04-21|697.34|702.16|706.95|697.3|40.27M|-0.47%|0
1997-04-22|687.96|696.28|696.37|685.96|31.40M|-1.35%|0
1997-04-23|693.05|688.17|695.24|688|35.06M|0.74%|1
1997-04-24|690.8|694.04|697.43|689.29|43.98M|-0.32%|0
1997-04-25|692.48|691.57|693.97|687.41|41.64M|0.24%|1
1997-04-26|699.76|695.12|701.26|695.12|31.99M|1.05%|1
1997-04-28|704.16|703.13|707.42|703.13|41.65M|0.63%|1
1997-04-29|704.05|705.13|705.68|701.09|38.10M|-0.02%|0
1997-04-30|703.23|705|706.54|701.89|43.66M|-0.12%|0
1997-05-02|706.1|704.77|709.6|699.18|65.42M|0.41%|1
1997-05-03|704.87|707.08|709.95|704.86|32.72M|-0.17%|0
1997-05-06|701.57|706.53|706.92|700.32|44.50M|-0.47%|0
1997-05-07|689.1|700.87|700.87|689.09|42.00M|-1.78%|0
1997-05-08|684.69|688.89|690.44|682.73|39.76M|-0.64%|0
1997-05-09|687.62|685.91|693.2|685.91|44.72M|0.43%|1
1997-05-10|678.98|688.7|690.48|678.04|25.25M|-1.26%|0
1997-05-12|672.1|678.5|683.32|667.66|36.78M|-1.01%|0
1997-05-13|683.86|673.08|684.61|669.01|35.97M|1.75%|1
1997-05-15|699.95|684.74|705.1|684.74|51.25M|2.35%|1
1997-05-16|699.53|702.51|709.57|695.93|50.07M|-0.06%|0
1997-05-17|706.25|700.25|706.25|700.25|28.27M|0.96%|1
1997-05-19|721.2|710.41|721.23|710.41|56.93M|2.12%|1
